NUMERAÇÃO;ARTIGO;AUTOR(RES);DOI;ANO DE PUBLICAÇÃO;VEÍCULO DE PUBLICAÇÃO;PAÍS;CONTINENTE;BIOMA;LOCALIDADE;NATUREZA DO ESTUDO;TAMANHO DA ÁREA DE ESTUDO;OBJETO DE ESTUDO;TIPO DE MANEJO; OBSERVAÇÔES;NÚMERO DE CITAÇÕES
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem integrada da paisagem , Conceito (paisagem e de AIP), Sustentabilidade;"As AIPSs podem ser identificadas como parte dos conceitos de paisagem com o objetivo de desenvolvimento sustentável e sustentabilidade [49,89]. Nesse sentido, seguindo Angelstam et al. [89], as AIPss podem ser utilizadas como ferramenta para diagnosticar sistemas socioecológicos. Em particular, alguns autores propõem o uso de uma abordagem de rede socioecológica para o desenvolvimento de uma estrutura de governança da paisagem [90]. No entanto, a boa governança da paisagem, por si só, não pode conduzir aos resultados desejados ao nível da paisagem; deve andar de mãos dadas com os sistemas de gestão e execução. A implementação da AIP requer um sistema de governança bom e adaptativo e um conjunto adequado de métodos e ferramentas de gerenciamento para o contexto do cenário.
A gestão da paisagem é crucial para desenvolver respostas de governaça baseadas em evidências que melhor se adaptem à realidade da paisagem [54]. A governança da paisagem é um elemento-chave para a implementação da AIP, pois ""lida com as interconexões entre espaços socialmente construídos e as condições naturais dos lugares"" [43] (p. 268). Os resultados confirmam que a fraca governação da paisagem pode conduzir a uma aplicação limitada dos instrumentos de gestão da paisagem. Por exemplo, isso pode incluir planejamento e metas de curto prazo, corrupção, colaboração não estruturada, captura de elite, mandatos e responsabilidades difusos, rivalidade setorial e política, participação insuficiente ou ineficiente das partes interessadas, alto custo de transação, compartilhamento inadequado de benefícios, assimetrias de gênero ou falhas políticas gerais em relação a ecossistemas e comunidades [2,11,18,35,37,38,91,92, 93]. A fim de abordar questões de preocupação comum no cenário, as AIPs normalmente usam plataformas multissetoriais como estrutura de governança para definir os objetivos comuns, delinear uma visão compartilhada e impulsionar a ação coletiva [41,47]. A capacidade de melhoria da governação da paisagem apoiará o desenvolvimento de teorias participativas de mudança que delineiem uma visão partilhada e a construção de cenários para o plano de gestão [40]. A tónica nas relações entre as políticas existentes e futuras é crucial para reforçar a boa governação da paisagem [9].";;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem integrada da paisagem (paisagem jurisdicional);Figura 2. Interconexões entre as abordagens jurisdicional e paisagística (Fonte: elaboração própria pelos autores). (a) A paisagem em si é delimitada dentro dos limites políticos da jurisdição. A jurisdição completa é a paisagem onde a abordagem paisagística/jurisdicional é implementada. Esta situação é incomum. (b) Dentro dos limites jurisdicionais há um cenário onde os recursos para implementar a abordagem estão focados. (c) Dentro dos limites jurisdicionais existem duas ou mais paisagens onde os recursos para implementar a abordagem estão focados. (d) A paisagem toca mais de um limite jurisdicional. Por conseguinte, a abordagem paisagística inclui uma abordagem multijurisdicional para a sua implementação; isso pode ser uma associação de vários municípios, estados ou mesmo países vizinhos. (b–d) e são os casos mais comuns de implementação da abordagem paisagística/jurisdicional. (e) A jurisdição completa é organizada por meio de uma abordagem jurisdicional com paisagens aninhadas ou pactos jurisdicionais em escalas menores, é um tipo de abordagem jurisdicional aninhada.;;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem Integrada da paisagem, Estudo em escala da paisagem, Conceitos, Biocontrole/ Pragas agrícolas, Sustentabilidade;"Princípios e critérios para abordagens integradas da paisagem                                                                                                                                                                                 
Foram definidos alguns princípios que sublinham a AIP, tais como assegurar «benefícios para os cidadãos» [31], a ação a longo prazo e abordagens em larga escala [53] e uma boa governação a vários níveis, como uma chave para a eficácia da AIP[36]. Para Sayer et al. [39], é fundamental para qualquer AIP fazer um inventário abrangente das partes interessadas da paisagem e seus ativos físicos, naturais e sociais. De acordo com Båge et al. [11], o principal princípio ao considerar o estabelecimento de um AIP é que ele deve ser integrado ao planejamento geral e ao desenvolvimento socioeconômico da localidade. Reed et al. [1] desenvolveu cinco aspectos críticos para um AIP, chamados de cinco “E's”, que incluem (1) avaliar o progresso, (2) estabelecer boa governança, (3) evoluir a partir de soluções panacéias, (4) envolver várias partes interessadas e ( 5) abraçar processos dinâmicos. É importante observar um estudo recente de Reed et al. [54] que enfatiza a importância de não negligenciar os fatores ecológicos das AIPs, uma vez que os avanços das pesquisas da AIP têm sido altamente focados em governança e critérios sociais, deixando para trás os aspectos ecológicos.
Após um estudo de sete paisagens em todo o mundo, Sayer et al. [38] (p. 345) registraram várias pré-condições de sucesso para a AIP, pois ""elas [AIPs] têm forte liderança, processos sustentados de longo prazo e facilitados, boa governança, orçamentos adequados e métricas adequadas para avaliar o progresso"". Os dez princípios a seguir desenvolvidos por Sayer et al. [47] são uma base sólida para os ideais do que o conceito de AIP consiste e aspira dentro de um processo de tomada de decisão (ver Tabela 2). Estes princípios são, de longe, os mais frequentemente mencionados na literatura científica. Como Sayer et al. [38] também mencionaram, esse conjunto de princípios deve ser visto como uma lista à qual os profissionais devem se adaptar para lidar com condições locais e específicas de cada caso.                                                                                                                                                                                   ";;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem Integrada da Paisagem, Estudos em escala da paisagem, Sustentabilidade, Recursos naturais, Biodiversidade, Conceitos, Pasisagem multifuncional, Mudanças Climáticas, Agricultura, Silvicultura, Floresta, Land sharing, Land sparing;"A pesquisa paisagística e as ideias de AIP dependem de esforços anteriores para conciliar a conservação com a agricultura, silvicultura e outros usos da terra [47]. Alguns autores afirmam que as AIPs são derivadas do pensamento em escala de paisagem no contexto da conservação da biodiversidade [27]. As AIPS são adotadas como um sistema socioecológico (os sistemas socioecológicos são sistemas complexos e integrados nos quais os seres humanos fazem parte da natureza [48]), operando principalmente em áreas e arredores rurais e de orientação florestal, onde a gestão e o planejamento integrados dos recursos naturais são necessários para melhorar os meios de subsistência e mitigar e adaptar-se às mudanças climáticas [18 ]. As associações das AIPs com o sistema socioecológico são um veículo potencial para a sustentabilidade e o desenvolvimento sustentável [15,49]. A AIP é uma abordagem para a gestão sustentável dos recursos naturais, analisando as multifunções da paisagem, os interesses das partes interessadas, o direito e a cultura com uma visão holística e integrada [11]. Além disso, as  AIPs permitem a focalização espacial da partilha e da poupança de terras [50]. A AIP segue uma abordagem processual e não uma abordagem sectorial [28,47]. As abordagens setoriais para os recursos naturais têm sido consideradas de curto a médio prazo, de pensamento linear, inadequadas, ineficazes, ineficientes e até mesmo uma abordagem ""antiga"" [1,11,18,47]. Nas palavras de Sayer et al. [47] (p. 4), uma AIP exige uma ""visão aberta dos resultados e o reconhecimento dos trade-offs susceptíveis de estarem envolvidos em qualquer mudança de sistema"". Além disso, a AIP tem uma divulgação sólida sobre mitigação e adaptação às mudanças climáticas [12]. A AIP foi também identificada como um instrumento proeminente para facilitar a redução do risco de catástrofes [51] e para o controlo de pragas [52].";;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem integrada da paisagem, Floresta, Conceito (biosfera);"A fim de cumprir os múltiplos objectivos propostos pelas AIPs, é necessária uma combinação adequada de instrumentos políticos complementares [87]. Dado o fracasso em harmonizar as políticas que afetam o uso da terra, a experiência latino-americana mostra que as políticas de REDD+ abraçaram o esforço para atender a várias funções da paisagem; no entanto, isso tem sido limitado dentro dos ministérios florestais ou ambientais que implementam o REDD+ [22,87].                                                                                                                                                                                                                                                                                          
Paisagens e paisagens marinhas podem ser consideradas um sistema socioecológico. Em um sistema socioecológico, ""o socio refere-se à dimensão humana em suas diversas facetas, incluindo a econômica, política, tecnológica e cultural, e a ecológica à fina camada do planeta Terra, onde há vida, a biosfera. A biosfera é o sistema ecológico global que integra todos os seres vivos e suas relações, incluindo os seres humanos e as ações humanas, bem como sua interação dinâmica com a atmosfera, o ciclo da água, os ciclos biogeoquímicos e a dinâmica do sistema terrestre como um todo"" [88]. A integração da governação e da gestão nos sistemas socioecológicos é coerente com as AIL e, por conseguinte, poderia produzir resultados de desenvolvimento sustentável e de sustentabilidade a nível paisagístico (ver Figura 3). A implementação da ILA baseia-se na governação da paisagem e num plano de gestão elaborado tendo em conta as ferramentas e métodos associados aos recursos naturais disponíveis para necessidades e objetivos socioeconómicos específicos na paisagem.";;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;;Revisão;10 mil ha até 1 milhão de ha;Abordagem integrada da paisagem, Floresta, Sustenabilidade, Sistema agroflorestal (SAF), Silvicultura;"Relevância das abordagens paisagísticas integradas para o setor florestal                                                                                                                                                                                                        
As florestas são um elemento importante das paisagens. Enquanto em alguns países cobrem mais de dois terços da área terrestre, em outros com uma baixa cobertura florestal, a sua proteção e utilização sustentável podem ser ainda mais importantes. A AIP visa a gestão holística, concentrando-se não apenas nas florestas, mas também em outros usos do solo por meio de um único sistema de gestão para alcançar resultados de subsistência sustentáveis e melhores [12,99]. Especialmente em áreas onde a conversão e a degradação florestal estão em curso, a AIP fornece um quadro para alinhar objectivos concorrentes de utilização dos solos no território [39]. Conforme identificado por estudos anteriores, a AIP é notável em sua capacidade de cumprir metas ecológicas e produtivas no setor florestal [99.100], particularmente nos trópicos [6]. Além disso, as AIPs podem servir de base para regimes de gestão florestal sustentável [100]. As florestas não são um sistema fechado; fazem parte de uma paisagem mais ampla. Interagem dentro das suas zonas de transição, ecossistemas vizinhos e outras utilizações do solo, como a agricultura, as zonas urbanas, ou entre florestas geridas e áreas protegidas [29].
Uma das melhorias mais significativas que a gestão florestal pode contribuir para o desenvolvimento sustentável é a capacidade de avaliar a qualidade da paisagem circundante e de cumprir múltiplos objetivos de gestão [29]. ""O nível da paisagem torna-se uma escala útil a partir da qual se analisam as reações da floresta como um todo"" [101] (p. 6). Por exemplo, os estudos de restauração da paisagem florestal utilizaram vários princípios e objetivos gerais da AIP para desenvolver e melhorar suas ações de manejo [102]. A agrofloresta, por seu lado, também pode se beneficiar das AIPs, uma vez que pode desempenhar um papel significativo na expansão dos sistemas agroflorestais através de estratégias paisagísticas sustentáveis com várias partes interessadas [103].
A AIP apela a um trabalho interdisciplinar para além dos limites da ciência florestal e à transformação tanto da silvicultura como dos silvicultores [24]. A AIP representa um desafio particular para a transformação dos gestores florestais e investigadores; isso também é confirmado por estudos anteriores [29,104]. R. Schlaepfer e C. Elliott sublinham que os gestores florestais precisam de ajustar os seus horizontes e de se adaptar à importância crescente das considerações globais da paisagem e, se não puderem, «eles [gestores florestais] continuarão a fazer o mesmo papel, mesmo com a floresta, sendo drasticamente reduzida» [29] (p. 1). No entanto, não se deve esquecer que o grande número de proprietários florestais privados também pertence aos grupos afectados pelas AIP, cujos direitos de propriedade têm de ser respeitados [105].";;
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem integrada da paisagem, Modelagem, Tecnologia (p/ modelagem de cenários), Estudo em escala da paisagem, Serviços ecossistêmicos, Floresta, Biodiversidade,  Sustentabilidade;"Em última análise, as partes interessadas da paisagem local são a chave para apoiar o pensamento paisagístico de longo prazo. As partes interessadas que estão directamente preocupadas com o panorama e são afectadas pelo panorama têm de ser capazes de se apropriar e empenhar-se na implementação e avaliação dos progressos dos objectivos a curto-médio e longo prazo da AIP que eles próprios ajudaram a estabelecer [54]. A mudança da paisagem está relacionada às expectativas, preferências e relação geral das pessoas com a paisagem [118]. Os resultados de um estudo de 20 anos feito por Palang et al. [118] na Estônia concluem que quanto mais forte a identidade e a conexão das pessoas com a paisagem, mais as pessoas cuidam e fornecem administração a essa paisagem, e que as melhores paisagens ecologicamente preservadas são geralmente as que as pessoas mais se importam.                                                                                     
Outra ferramenta útil que pode apoiar a AIP a incorporar escalas de longo prazo no planejamento e projeto é a modelagem de cenários. Existem agora várias metodologias e softwares que são projetados para construir cenários de paisagem; com a participação de stakeholders relevantes, estes podem ajudar a antecipar tendências e trajetórias futuras na dinâmica dos processos ecológicos e humanos [115,119,120]. Por exemplo, diferentes decisões e intervenções de gestão podem ser avaliadas para comparar o comportamento do sistema e identificar os melhores resultados a longo prazo [114,121]. Esses exercícios de modelagem podem levar em consideração não apenas as variáveis ambientais, mas também as variáveis sociais, políticas e econômicas. Tais exercícios podem ser aplicados a escalas espaciais e temporais para aprender a modelar a dinâmica das AIPs em diferentes contextos e cenários, como a mudança global. Os cientistas recomendam igualmente a plataforma de Investigação Socioecológica a Longo Prazo (LTSER) para gerar e partilhar conhecimentos sobre a sustentabilidade a longo prazo e baseada no local (incluindo a paisagem) [122].
O pensamento de longo prazo no nível da paisagem requer a visão do futuro da paisagem, e vislumbrar o futuro de uma paisagem requer uma visão de mente aberta, bem como a análise de eventos e experiências passadas e presentes. A incapacidade de considerar o interesse historicamente legítimo das partes interessadas resulta na incapacidade de gerir a paisagem atual e a atual distribuição dos serviços ecossistémicos [123]. Além disso, a investigação ecológica presente e futura beneficiará de dados sólidos sobre o clima histórico, a cobertura florestal, a biodiversidade ou a prevalência de incêndios na paisagem [54]. A fim de estudar a gestão de paisagens culturais históricas, os pesquisadores sugerem o uso de abordagens da teoria da dependência do caminho, sustentabilidade cultural e serviços ecossistêmicos culturais [118].                                                                                                                                                                                   A base da sustentabilidade exige que as necessidades presentes sejam atendidas sem comprometer as necessidades das gerações futuras. Portanto, para alcançar a sustentabilidade geral nas intervenções na paisagem, é fundamental abraçar a complexidade e os benefícios do planejamento e do pensamento de longo prazo. A escala temporal também faz parte das transformações espaciais em sociedades e ecossistemas, como explicado na teoria Panarchy do ciclo adaptativo e na teoria da fundação na ciência da sustentabilidade da paisagem [5,98].";A investigação ecológica de longo-termo (Long Term Ecological Research - LTER) tem como objetivo estudar todos os processos ecológicos que ocorrem a longo prazo (ex. o efeito das mudanças climáticas) e o impacto de eventos de perturbação raros ou episódicos (ex. incêndios, deflorestação), impossíveis de detectar a curto prazo. O principal objectivo da rede LTER é o armazenamento de dados relevantes em ecologia, o estabelecimento de ligações entre instituições e investigadores, e a partilha do conhecimento. Actualmente existem locais LTER em todo o mundo, seleccionados para representar diferentes tipos de ecossistemas. No total são 41 redes nacionais de cientistas que desenvolvem investigação de longo prazo e que no seu conjunto estão integrados na rede LTER internacional (ILTER). A rede LTER organiza-se em dois níveis: as plataformas LTSER e os Sítios LTER. LTSER MONTADO, Portugal, <http://www.ltsermontado.pt/?q=node/1805>;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem integrada da paisagem, Monitomento, Certificação, Pagamento por serviços ambientais;"A ""dinâmica"" internacional da abordagem integrada da paisagem                                                                                                                                                                                                                                                                               
Embora não represente um quadro inteiramente novo, a AIP tem sido bastante redefinida e tem ganhado atenção significativa, especialmente para agendas e pesquisas verdes internacionais [12,18,28].
Além disso, os esforços internacionais podem melhorar as capacidades de construção das muitas partes interessadas, criar espaços de diálogo e alcançar acordos políticos necessários para os objetivos paisagísticos de longo prazo. Naturalmente, isso pode incluir um compromisso colaborativo de instituições internacionais ou doadoras, também abraçando responsabilidades e investimentos de longo prazo. As AIPs, como um conceito promovido principalmente internacionalmente, exigem uma terminologia flexível e adaptável a cada país e paisagem. Os esforços internacionais podem levar os próprios países a definir o conceito de AIP em relação às suas unidades subnacionais (e também às suas paisagens) e a ajustar os seus sistemas e ferramentas de implementação e monitorização de acordo com as suas necessidades e objetivos locais e nacionais. A comunidade internacional que apoia a AIP poderia melhorar as iniciativas simultâneas, uma vez que cada país adota e compartilha sua própria definição e critérios da AIP e, nos estágios iniciais, a adota como um compromisso para uma governança de longo prazo de acordo com as necessidades nacionais.
As iniciativas e os investigadores internacionais podem apoiar esforços inovadores para explorar os custos e benefícios económicos reais da implementação de uma AIP «a partir do zero» [24]. Técnicas para compensar os custos de transação da AIP também devem ser estudadas [11], bem como as possíveis formas de superar os investimentos iniciais para iniciativas de AIP em países em desenvolvimento. Em última análise, esta crescente dinâmica internacional da AIP pode vir também com investimentos, e pode aliviar o capital inicial necessário para a implementação daAIP em paisagens rurais [15]. Concentrar-se no processo econômico da AIP também pode ajudar no processo de tomada de decisão, identificando se a concepção de uma AIP para uma determinada paisagem é uma alternativa viável ou não [1]. Há também potencial internacional para incentivar a inclusão de Pagamentos por Serviços Ecossistêmicos para paisagens provenientes da gestão da AIP [4,33]. Além disso, é necessário explorar o potencial da AIP para a certificação paisagística ou geográfica dos produtos [24].
Na Tabela 3, pretende-se fornecer um resumo sobre alguns exemplos dos marcos internacionais que sustentam as AIPs em suas linhas discursivas. Não se trata de uma revisão exaustiva, mas sim de uma compilação dos exemplos que a revisão da literatura revelou. Deve-se notar que existem muitas iniciativas locais e regionais que também promovem e apoiam a concepção, a implementação, a governança e o monitoramento das ILAs. Alguns exemplos, entre muitos outros, são o Lingkar Temu Kabupaten Lestari (LTKL) na Indonésia [55], o Produce Conserve and Include (PCI) em Mato Grosso Brasil [56] e os Conselhos Intermunicipais de Meio Ambiente no México [22,57]. Aqui, não estamos sugerindo que os quadros internacionais abaixo mencionados sejam bem-sucedidos ou mesmo integrem adequadamente os elementos e princípios característicos das AIPs. Para isso, é necessário realizar uma avaliação e uma avaliação específicas sobre esses quadros no que diz respeito aos objetivos das ILAs, o que está fora do escopo deste estudo.";;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;;Revisão;10 mil ha até 1 milhão de ha;Abordagem integrada da paisagem, Mudanças Climáticas, Serviços ecossistêmicos, Sustentabilidade;"Principais barreiras a serem superadas                                                                                                                                                                                                                                                                                             
Apesar dos benefícios potenciais da implementação de uma AIP algumas barreiras foram identificadas por Reed et al. [39], como defasagens de tempo, confusão terminológica, silos operacionais, falta de envolvimento interno/externo e monitoramento ineficaz. Não obstante o impulso internacional da AIP, sua implementação ainda é percebida como arriscada e complexa devido ao seu discurso abstrato. No entanto, enquanto a AIP não tomar uma forma clara, não será possível ver os conflitos de interesses e valores subjacentes à sua volta [12]. Além disso, a AIP tem sido impulsionada mais por objetivos de conservação e mudanças climáticas do que por interesses de desenvolvimento e bem-estar humano [11]. Isso pode ocorrer porque a maioria dos esforços científicos e internacionais da   AIP é motivada por organizações orientadas por metas ambientais. Da mesma forma, pode ser porque a eficácia dos serviços ecossistêmicos pode ser melhorada pelos AIPSs [32], mas não está claro o quanto a AIP aumenta a eficácia das estratégias e estruturas de “desenvolvimento ou produção. De fato, quando a paisagem é gerenciada, concentrando-se em esforços isolados, esses trade-offs podem resultar em resultados socioeconômicos e ambientais negativos [1]. No entanto, numa gestão da paisagem ou numa intervenção de política paisagística, haverá vencedores e vencidos [1]. Infelizmente, os planos negociados de resultados acordados com as AIPss não necessariamente evitam conflitos; por conseguinte, os planos devem ser adaptados [38]. A questão de quem ganha e quem perde com a AIP é um ponto central para o planejamento do desenvolvimento sustentável e o desenho de paisagens [5,29]. Wu [5] explica que o conceito de ""sustentabilidade"" em si é mais uma viagem do que um destin. A AIP naturalmente tem uma construção social e idealista por trás dela, o que pode ser tão significativo quanto a própria jornada em direção à sustentabilidade.";;4
1;A Knowledge Review on Integrated Landscape Approaches;Norma M. Pedroza-Arceo, Norberto Weber1 e Alejandro Ortega-Argueta;https://doi.org/10.3390/f13020312;2022;Forest Journal (revista);X;Global ;Global ;Global;Revisão;10 mil ha até 1 milhão de ha;Abordagem Integrada da Paisagem, Mudanças climáticas, Sustentabilidade;Nossa revisão reconhece a estratégia de gestão socioecológica da AIP para conciliar conservação, desenvolvimento, mudança climática, e objetivos de bem-estar humano. Os AIPs têm naturalmente uma construção social e idealista por trás, que pode ser tão necessária e significativa quanto a própria jornada rumo à sustentabilidade.;Dado o nível sem precedentes de degradação ambiental, é urgente alinhar as agendas ambientais, climáticas, sociais, de saúde e econômicas aos princípios da sustentabilidade. Apesar de alguns progressos recentes na abordagem dos desafios sociais e ambientais, as emissões de gases com efeito de estufa continuam a aumentar, a população humana continua a crescer, centenas de milhões de pessoas continuam com fome e subnutridas e a pobreza global ainda é elevada, mantendo-se concentrada nos países em desenvolvimento [ 1 , 2 ]. A deterioração ambiental e o conflito social permanecem, o que indica que a compreensão atual e as instituições eficazes para a gestão dos recursos naturais ainda são fracas [ 3]. Além disso, a humanidade enfrenta atualmente sérios desafios e incertezas globais em muitos campos para se recuperar da pandemia do COVID-19.;4
